Participant,Session,Block,OnsetDelay,Condition,SphereBias,Shift,Percept,Time
LLL2000WRNO,2020-03-02-13-38-13,1,0.9387898925061223,Walker,-1,0,up,0.40050604457678673
LLL2000WRNO,2020-03-02-13-38-13,1,0.9387898925061223,Walker,-1,0,unclear,14.961770496717918
LLL2000WRNO,2020-03-02-13-38-13,1,0.9387898925061223,Walker,-1,0,down,15.111764572339098
LLL2000WRNO,2020-03-02-13-38-13,1,0.9387898925061223,Walker,-1,0,unclear,26.12035538809039
LLL2000WRNO,2020-03-02-13-38-13,1,0.9387898925061223,Walker,-1,0,up,26.253769288828835
LLL2000WRNO,2020-03-02-13-38-13,1,0.9387898925061223,Walker,-1,0,down,35.24413354327305
LLL2000WRNO,2020-03-02-13-38-13,1,0.9387898925061223,Walker,-1,0,unclear,44.60132849141064
LLL2000WRNO,2020-03-02-13-38-13,1,0.9387898925061223,Walker,-1,0,up,44.934953430650694
LLL2000WRNO,2020-03-02-13-38-13,1,0.9387898925061223,Walker,-1,0,unclear,50.922942957717396
LLL2000WRNO,2020-03-02-13-38-13,1,0.9387898925061223,Walker,-1,0,down,51.13976184930186
LLL2000WRNO,2020-03-02-13-38-13,1,0.9387898925061223,Walker,-1,0,unclear,57.29455793715931
LLL2000WRNO,2020-03-02-13-38-13,1,0.9387898925061223,Walker,-1,0,up,57.478042635002
LLL2000WRNO,2020-03-02-13-38-13,1,0.9387898925061223,Walker,-1,0,end,60.013252571040425
LLL2000WRNO,2020-03-02-13-38-13,2,1.236327795716993,Walker,1,4,up,0.35033199845634044
LLL2000WRNO,2020-03-02-13-38-13,2,1.236327795716993,Walker,1,4,down,20.682808758875353
LLL2000WRNO,2020-03-02-13-38-13,2,1.236327795716993,Walker,1,4,unclear,33.87642958681431
LLL2000WRNO,2020-03-02-13-38-13,2,1.236327795716993,Walker,1,4,down,38.88028152150491
LLL2000WRNO,2020-03-02-13-38-13,2,1.236327795716993,Walker,1,4,unclear,46.21931241752907
LLL2000WRNO,2020-03-02-13-38-13,2,1.236327795716993,Walker,1,4,up,46.41947898431579
LLL2000WRNO,2020-03-02-13-38-13,2,1.236327795716993,Walker,1,4,end,60.01336235086819
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,right,9.54084042833415
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,left,13.694104263469171
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,right,16.29606748753781
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,left,16.596305364563932
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,unclear,17.96460051493898
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,left,19.64869957552844
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,right,23.351533045749647
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,unclear,26.20376317785542
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,left,26.20381542434575
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,right,31.07421924928633
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,unclear,35.22746877883469
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,left,35.24414380597648
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,right,39.66423233267835
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,left,45.30195610237456
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,right,49.455169245974275
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,left,54.592589021955064
LLL2000WRNO,2020-03-02-13-38-13,3,1.1680284266441905,Sphere,-1,0,end,60.013385364203145
LLL2000WRNO,2020-03-02-13-38-13,4,1.1973721702344515,Walker,1,2,up,0.3002891905432534
LLL2000WRNO,2020-03-02-13-38-13,4,1.1973721702344515,Walker,1,2,unclear,2.251837412654254
