Participant,Session,Block,OnsetDelay,Condition,Distance,Display,Occlusion,Percept,Time
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,down,7.672644396939177
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,9.824306665182348
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,right,9.924401952265725
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,11.35884232413423
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,left,11.358927846157485
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,right,12.643227619819527
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,15.078362119528038
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,down,15.111722239395704
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,17.063201397212197
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,up,17.163311922765388
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,left,18.831283707339253
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,21.51666715388319
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,up,23.868544875427233
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,25.386325059570026
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,down,25.519784509380315
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,28.105973293493662
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,up,28.22180867572729
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,30.940582719077838
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,right,31.040668365496913
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,32.1582138772078
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,left,32.15829877725287
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,right,34.326534902626236
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,up,35.32730646677123
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,36.27806164178651
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,down,36.39480604538085
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,38.696572837085796
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,up,38.79683077150821
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,43.366920578962436
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,down,43.48362331000703
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,47.503388538058516
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,up,47.60346454381306
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,left,50.689154501288385
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,right,53.057709950347544
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,54.40879496048274
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,left,54.40887612865754
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,right,56.19351892338045
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,down,57.49441992122024
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,unclear,59.46353714112638
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,up,59.57937532226265
BDH1998WRNO,2019-11-11-09-11-07,2,1.415991824449906,Occlusion,-8.13,gear24,32.52,end,60.01295922994086
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,down,2.7021638004869146
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,5.087387336396432
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,up,5.1874011443158
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,9.073795554472099
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,down,9.223866802092289
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,11.058578854104553
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,down,11.208727849018487
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,left,12.626535897791655
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,14.728957694898554
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,up,14.761455752771099
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,17.763791592469943
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,down,17.913880255483946
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,20.966238082117343
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,up,21.08297315603636
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,22.851089985962062
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,left,23.30137587831132
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,24.252115814857007
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,down,24.25220102589128
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,left,28.171825873428816
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,31.340914420132776
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,up,31.340999320177843
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,right,33.65943730862523
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,down,34.22646107379592
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,36.07796560832912
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,up,36.22813170764789
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,36.34479774196984
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,down,36.4949140830206
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,38.04738542070322
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,up,38.39635912532435
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,40.1144150946684
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,down,40.26448012250489
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,41.68221322288673
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,up,41.78363394583698
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,44.234257572431034
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,down,44.3509652793025
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,47.436719922526436
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,up,47.53674554803456
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,51.33974354588622
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,right,51.45644907583346
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,left,53.69146763877757
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,down,56.110034190150145
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,57.16085448629883
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,up,57.24424467881977
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,unclear,58.561901151468646
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,down,58.69537304084611
BDH1998WRNO,2019-11-11-09-11-07,3,1.0748725432785984,Separation,32.52,gear24,None,end,60.013005567328264
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,right,1.4511737664458906
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,down,15.145051260345781
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,unclear,16.49610299463916
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,up,16.596209477332877
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,unclear,18.33089839175068
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,down,18.49768468558682
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,unclear,21.43326825366512
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,up,21.550002705605948
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,unclear,25.58651718868282
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,down,25.736585948389575
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,left,26.85408139084325
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,right,28.355344317885738
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,unclear,34.259837054111586
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,up,34.259921954156425
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,right,36.26146197255457
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,down,37.6457848838113
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,unclear,39.76401799258974
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,up,39.814106531208154
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,unclear,41.21519922277594
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,down,41.29857417682729
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,unclear,43.384902906069556
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,up,43.46693998468686
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,unclear,44.968079449026845
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,down,45.068156387748786
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,right,49.00453173426854
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,down,50.589222483522235
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,unclear,52.80747251011189
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,up,52.90756126642259
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,unclear,54.10846213986679
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,down,54.22523857534611
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,unclear,56.26008740039788
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,up,56.32689036325405
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,unclear,58.22829622092172
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,down,58.36175007292695
BDH1998WRNO,2019-11-11-09-11-07,4,0.7939321097356581,Ambiguity,-8.13,gear24-strong-filled,None,end,60.012945235428106
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,down,4.08660022279264
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,unclear,5.470936195594959
BDH1998WRNO,2019-11-11-09-11-07,5,0.9101304949204241,Separation,65.04,gear24,None,up,5.57109274754589
